#'Name ',Value,'Definition',
'.forest.treeStand.Species','DouglasFir',' code of the Species name',
'.forest.treeStand.canopy.pcs_EnergyBalance.kLAI1_LW_Int ',	-0.538	,'parameter 1 of longwave radiation interception (-)',
'.forest.treeStand.canopy.pcs_EnergyBalance.kLAI2_LW_Int ',	0.0177	,'parameter 2 of longwave radiation interception (-)',
'.forest.treeStand.canopy.pcs_EnergyBalance.Emissivity ',	0.98	,'emissivity (ex. Rubio et al. RSE 1997)',
#'3.- TREE LAYER - RAINFALL INTERCEPTION',0.0,,#################################################################################################
'.forest.treeStand.canopy.pcs_CanopyRainInterception.kRainInt_LAI  ',	0.3	,'parameter of rain interception by leaf (-)',
'.forest.treeStand.canopy.pcs_CanopyRainInterception.kRainInt_WAI  ',	0.4	,'parameter of rain interception by leaf (-)',
'.forest.treeStand.canopy.pcs_CanopyRainInterception.SurfaceWaterStorageCapacity  ',	0.2	,'water storage capacity by leaf area index(kg_H2O m-2_Leaf Area Index) 'Link et al. 2004',
#'4.- TREE LAYER - CANOPY PHOTOSYNTHESIS',0.0,,#################################################################################################
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Kc_25',	0.0004049	,'Michaelis-Menten constant of rubisco for CO2 at 25 degC (mol_CO2 mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ea_Kc',	79430	,'Activation energy for Kc (J  mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ko_25',	0.2784	,'Michaelis-Menten constant of rubisco for O2 at 25 degC (mol_O2  mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ea_Ko',	36380	,'Activation energy for Ko (J  mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.GammaStar_25',	0.00004275	,'CO2 compensation point of photosynthesis in the absence of mitochondrial respiration (mol_CO2  mol-1_air : ppm)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ea_GammaStar',	37830	,'Activation energy for GammaStar (J  mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Vcmax_25',   0.00002154,'Vcmax at 26 degC FOR 15mgN.gdm-1 'Ripullone etal. Tree Phys. 2003  ',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ea_Vcmax',	35200	,'Activation energy for Vcmax (J  mol-1) Medlyn et al. 20002 - Abies Alba',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Jmax_25',	0.000059	,'Jmax at 26 degC FOR 15mgN.gdm-1 'Ripullone etal. Tree Phys. 2003 ',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ha_Jmax',	50820	,'Activation energy for Jmax (J  mol-1) Medlyn et al. 20002 - Abies Alba',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Hd_Jmax',	200000	,'Deactivation energy for Jmax (J  mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.TCopt_Jmax',	33.2	,'temperature of Jmax optimum (deg_C)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.alpha  ',	0.137777778	,'Quantum yield of electron transport (mol_e mol-1_photon_absorbed).',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Rd_25  ',	0.0000008	,'Dark leaf respiration at 25 degC (mol_CO2 m-2_LAI s-1),Manter et al,2005 in Wesikittel, 2009) ',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ea_Rd  ',	44000	,'Activation energy for Rd (J mol-1)',
#'5.- TREE LAYER - CANOPY PHENOLOGY - GROWTH -STRUCTURE',0.0,,####################################################################################
'.forest.treeStand.wood_density',		0.45,	'wood infradensity of the species (t m-3)',
'.forest.treeStand.BiomassCarbonContent',	505,	'carbon content of dry biomass (g_C kg_d.m.-1)',
'.forest.treeStand.NbCohort',			6.0,	'number of cohorts of the canopy foliage()',
'.forest.treeStand.SLA',			3.0, 	'Leaf area (one side) to mass ratio (m2 kg-1), Marshall and Monserud Can J FOr Res 2003',
'.forest.treeStand.LAI_LeafArea_ratio',		1.0,	'ratio of all sided leaf area over LAI (flat leaf=1)',
'.forest.treeStand._Al_As_ratio_slope ',  	-0.0035,'slope of the leaf area to sapwood area with height (m2.cm-2) McDowell et al. 2002',
'.forest.treeStand._Al_As_ratio_int',	 	0.40,	'intercept of the leaf area to sapwood area regression with height (m2.cm-2) McDowell et al. 2002',
'.forest.treeStand._Al_As_ratio_exp',	 	0.8,	'exponent of the leaf area to sapwood area regression with height (m2.cm-2) McDowell et al. 2002',
'.forest.treeStand.Tmin ',			-4.65,	'coefficient of the chiling rate equation from Kramer 1994',
'.forest.treeStand.Tmax ',			16.0,	'coefficient of the chiling rate equation from Kramer 1994',
'.forest.treeStand.LifeDuration ',		2370,	'Life duration of leaf cohort (days) Balster et al. Tree Phys. 2000',
'.forest.treeStand.k_1',			0.50,	'1st fraction of cohort lifecycle - start 20pct loss ',
'.forest.treeStand.k_2',			0.65,	'2nd fraction of cohort lifecycle - constant at 80pct',
'.forest.treeStand.k_3',			0.80,	'3rd fraction of cohort lifecycle - start 80pct loss ',
'.forest.treeStand.pcs_SecondaryGrowth.k_Growth_a ',	105.5,	'parameter a of secondary growth model (-)',
'.forest.treeStand.pcs_SecondaryGrowth.k_Growth_b ',	2.5,	'parameter b of secondary growth model (-)',
'.forest.treeStand.pcs_SecondaryGrowth.k_Growth_c ',	95,	'parameter c of secondary growth model (-)',
'.forest.treeStand.ST_alpha',				198336,	'parameter alpha of self thinning rule, 171582 oak, 198336 coniferous (trees ha-1)',
'.forest.treeStand.ST_beta',				1.60,	'parameter beta of self thinning rule, 1.701 oak, 1.60 coniferous',
#'6. - TREE LAYER - HYDRAULICS',0.0,,############################################################################################################
'.forest.treeStand.pcs_HydraulicStatus.k_Rxyl_1 ',6000,'parameter 1 in allometric relation between tree height and hydraulic resistance of the xylem',
'.forest.treeStand.pcs_HydraulicStatus.k_Rxyl_2 ',0.6,'parameter 2 in allometric relation between tree height and hydraulic resistance of the xylem',
'.forest.treeStand.pcs_CarbonFluxesPartition.kIstress_1  ',	0.2	,'coefficient 1 of stress index expression',
'.forest.treeStand.pcs_CarbonFluxesPartition.kIstress_2  ',	1.0	,'coefficient 2 of stress index expression',
'.forest.treeStand.pcs_CarbonFluxesPartition.kIstress_3  ',	1.5	,'coefficient 3 of stress index expression',
#'7.- TREE LAYER - RESPIRATION',0.0,,#############################################################################################################
'.forest.treeStand.pcs_CarbonFluxesPartition.RgCost  ',	0.28,	'carbon growth cost  (g_C .g_C-1)',
'.forest.treeStand.pcs_Respiration._RmTref',		0.00642,'respiration rate at 15 deg C (gC gN-1 h-1)',
'.forest.treeStand.pcs_Respiration._RmQ10Leaf ', 	2.0,	'Q10 of maintenance respiration of leaves (-)', 
'.forest.treeStand.pcs_Respiration._RmQ10Stem ', 	1.8,	'Q10 of maintenance respiration of stem(dimensionless)', 
'.forest.treeStand.pcs_Respiration._RmQ10Branches ',  	2.0,	'Q10 of maintenance respiration of Branches (dimensionless)',
'.forest.treeStand.pcs_Respiration._RmQ10roots ',  	1.7,	'Q10 of maintenance respiration of roots (dimensionless)',  
'.forest.treeStand.pcs_Respiration._Photo_Inhibition',	0.51,	'fraction of day foliage respiration inhibited by light (0-1)',               
'.forest.treeStand._PaliveLeaf ',      			0.8,	'proportion of living cells in leaf (kg_livingCells kg_d.m.-1)',
'.forest.treeStand._PaliveFineRoot',   			0.8,	'proportion of living cells in fine roots (kg_livingCells kg_d.m.-1)',   
'.forest.treeStand._PaliveBranch_min', 			0.05, 	'minimum of the proportion of living mass of branches',
'.forest.treeStand._PaliveBranch_max', 			0.20, 	'maximum of the proportion of living mass of branches',
'.forest.treeStand._PaliveCoarseRoot_min',		0.01, 	'minimum of the proportion of living mass of coarse roots',
'.forest.treeStand._PaliveCoarseRoot_max',		0.10, 	'maximum of the proportion of living mass of coarse roots',
'.forest.treeStand._PaliveTapRoot_min',			0.01, 	'minimum of the proportion of living mass of tap root',
'.forest.treeStand._PaliveTapRoot_max',			0.05, 	'maximum of the proportion of living mass of tap root',
'.forest.treeStand._PaliveSmallRoot_min',		0.05, 	'minimum of the proportion of living mass of small roots',
'.forest.treeStand._PaliveSmallRoot_max',		0.15, 	'maximum of the proportion of living mass of small Root',
'.forest.treeStand._Nleaves',				13.5,	'leaves nitrogen content (g_N kg-1_livingCells)',
'.forest.treeStand._NStem',				1.5,	'trunk nitrogen content (g_N kg-1_livingCells )',
'.forest.treeStand._NBranch',				3.5,	'Branches nitrogen content (g_N kg-1_living cells), Achat et al. 2018',
'.forest.treeStand._NTapRoot',				1.5,	'Root nitrogen content (g_N kg-1_living cells) -',
'.forest.treeStand._NCoarseRoot',			2.0,	'Root nitrogen content (g_N kg-1_living cells) -',      
'.forest.treeStand._NSmallRoot',			2.0,	'Root nitrogen content (g_N kg-1_living cells) -',
'.forest.treeStand._NFineRoot',				7.5,	'Root nitrogen content (g_N kg-1_living cells) -',
#'8.- TREE LAYER - ALLOCATION',0.0,,#############################################################################################################
'.forest.treeStand.pcs_Senescence.k_SenBch_1',	0.3678,	'coefficient 1 of allometric equation for branches senescence',
'.forest.treeStand.pcs_Senescence.k_SenBch_2',	1.0966,	'coefficient 2 of allometric equation for branches senescence',
'.forest.treeStand.pcs_Senescence.k_SenBch_3',	-1.256,	'coefficient 3 of allometric equation for branches senescence',
'.forest.treeStand.pcs_Senescence.k_SenRoot_1',	0.8,	'coefficient 1 of allometric equation for roots senescence',
'.forest.treeStand.pcs_Senescence.k_SenRoot_2',	0.5,	'coefficient 2 of allometric equation for roots senescence',
'.forest.treeStand.pcs_Senescence.k_SenRoot_3',	0.15,	'coefficient 3 of allometric equation for roots senescence',
'.forest.treeStand.k_Wn_1 ',			0.290,	'coefficient 1 of allometric equation for total needle biomass (Gholz et a. 1979)',
'.forest.treeStand.k_Wn_2 ',			0.686,	'coefficient 2 of allometric equation for total needle biomass',
'.forest.treeStand.k_Wn_3 ',			0.0,	'coefficient 3 of allometric equation for total needle biomass',
'.forest.treeStand.k_Wn1_1',			0.401,	'coefficient 1 of allometric equation for cohort 1 biomass ',
'.forest.treeStand.k_Wn1_2',			0.796,	'coefficient 2 of allometric equation for cohort 1 biomass',
'.forest.treeStand.k_Wn1_3',			-0.602,	'coefficient 3 of allometric equation for cohort 1 biomass',
'.forest.treeStand.k_DBH_1',			2.574,	'coefficient 1 of allometric equation for DBH (Gholz et a. 1979)',
'.forest.treeStand.k_DBH_2',			0.4032258,'coefficient 2 of allometric equation for DBH (Gholz et a. 1979)',
'.forest.treeStand.k_DBH_3',			0,	'coefficient 3 of allometric equation for DBH (Gholz et a. 1979)',
'.forest.treeStand.k_DBH_4',			0,	'coefficient 4 of allometric equation for DBH',
'.forest.treeStand.k_Height_1',			2.1,	'coefficient 1 of allometric equation for tree height',
'.forest.treeStand.k_Height_2',			0.45,	'coefficient 2 of allometric equation for tree height',
'.forest.treeStand.k_Height_3',			0.0,	'coefficient 3 of allometric equation for tree height',
'.forest.treeStand.k_WStem_1',			0.686,	'coefficient 1 of allometric equation for stem biomass',
'.forest.treeStand.k_WStem_2',			1.037,	'coefficient 2 of allometric equation for stem biomass',
'.forest.treeStand.k_WreqWa_1 ',		0.085365,'coefficient 1 of allometric equation for Wr from Wa on an equilibrate tree',
'.forest.treeStand.k_WreqWa_2 ',		1.176316,'coefficient 2 of allometric equation for Wr from Wa on an equilibrate tree',
'.forest.treeStand.k_WTap_SmallRoot_1',		0.002,	'coefficient 1 of allometric equation based on DBH for taproot and stump biomass',
'.forest.treeStand.k_WTap_SmallRoot_2',		0.4,	'coefficient 2 of allometric equation based on DBH for taproot and stump biomass',
'.forest.treeStand.k_WTap_SmallRoot_3',		0.003,	'coefficient 3 of allometric equation based on DBH for taproot and stump biomass',
'.forest.treeStand.k_WTap_SmallRoot_4',		0.315,	'coefficient 3 of allometric equation based on DBH for taproot and stump biomass',
'.forest.treeStand.k_WCoarseRoot_1',		0,	'coefficient 1 of allometric equation based on DBH for coarse root biomass ',
'.forest.treeStand.k_WCoarseRoot_2',		0.212,	'coefficient 2 of allometric equation based on DBH for coarse root biomass ',
'.forest.treeStand.k_WCoarseRoot_3',		0.335,	'coefficient 3 of allometric equation based on DBH for coarse root biomass ',
'.forest.treeStand.k_WFineRoot_1 ',		0.606,	'coefficient 1 of allometric equation based on DBH for fine root biomass ',
'.forest.treeStand.k_WFineRoot_2 ',		0.512,	'coefficient 2 of allometric equation based on DBH for fine root biomass ',
'.forest.treeStand.k_WFineRoot_3 ',		0.603,	'coefficient 3 of allometric equation based on DBH for fine root biomass ',
'.forest.treeStand.shape_factor ',		0.47,	'stand shape factor = ratio of stem volume over basal area times height _ Pardé RFF 1963',
#'9.- UNDERSTOREY - STOMATAL MODEL',0.0,,#######################################################################################################
'.forest.underStorey.canopy.pcs_StomatalConductance.g_stom_Max  ',	0.008	,'maximal stomatal conductance (m s-1)'
'.forest.underStorey.canopy.pcs_StomatalConductance.k_SWabs_P50 ',	50	,'Leaf solar radiation absorded for 50%  of stomatal conductance ponderation (W m-2_LAI)',
'.forest.underStorey.canopy.pcs_StomatalConductance.k_VPD_P100  ',	750	,'VPD that start to close stomata (Pa)',
'.forest.underStorey.canopy.pcs_StomatalConductance.k_VPD_Curv  ',	0.75	,'Curvature parameter of VPD ponderation of stomatal conductance (-)',
'.forest.underStorey.canopy.pcs_StomatalConductance.k_Yleaf_0  ',	-1.2	,'parameter 1 of leaf water potential ponderation of stomatal conductance (MPa)',
'.forest.underStorey.canopy.pcs_StomatalConductance.k_Yleaf_1  ',	20	,'parameter 2 of leaf water potential ponderation of stomatal conductance (-)',
'.forest.underStorey.canopy.pcs_StomatalConductance.k_time_P50  ',	20	,'time for 50% response of stomatal conductance to stationnary state (minute)',
'.forest.underStorey.canopy.pcs_StomatalConductance.k_CO2',		0.7	,'response to a doubling of CO2 concentration from 350 to 700 ppm Medlyn et al. 2001 New Phytol.',
#'10.- UNDERSTOREY - RADIATION TRANSFER',0.0,,###################################################################################################
'.forest.underStorey.canopy.pcs_ShortWaveBalance.k_Beam_f  ',	0.33	,'Extinction coefficient of canopy for perpendicular beam radiation taking into account of aggregation factor ',
'.forest.underStorey.canopy.pcs_ShortWaveBalance.k_d_f  ',	0.467	,'Diffuse shortwave extinction coefficient taking into account of aggregation factor',
'.forest.underStorey.canopy.pcs_ShortWaveBalance.rho_cd  ',	0.036	,'Canopy reflection coefficient for diffuse shortwave (_)',
'.forest.underStorey.canopy.pcs_ShortWaveBalance.k_d_w  ',	1.0	,'Diffuse shortwave extinction coefficient taking into account of aggregation factor',
'.forest.underStorey.canopy.pcs_ShortWaveBalance.rho_l  ',	0.10	,'Leaf reflection coefficient for shortwave (_)',
'.forest.underStorey.canopy.pcs_ShortWaveBalance.theta_l  ',	0.02	,'Leaf transmissivity for shortwave (_)',
'.forest.underStorey.canopy.pcs_ShortWaveBalance.k_Beam_w  ',1.,'	Extinction coefficient of woody parts for perpendicular beam radiation ',
'.forest.underStorey.canopy.pcs_ShortWaveBalance.k_d_w  ',1.,'	diffuse shortwave extinction coefficient tof woody parts',
'.forest.underStorey.canopy.pcs_ShortWaveBalance.Albedo_w  ',	0.2	,'Leaf reflection coefficient for shortwave (_)',
'.forest.underStorey.canopy.pcs_EnergyBalance.kLAI1_LW_Int  ',	-0.548	,'parameter 1 of longwave radiation interception (-)',
'.forest.underStorey.canopy.pcs_EnergyBalance.kLAI2_LW_Int  ',	0.0177	,'parameter 2 of longwave radiation interception (-)',
'.forest.underStorey.canopy.pcs_EnergyBalance.Emissivity  ',	0.98	,'emissivity',
#'11.- HYDRAULICS',0.0,,,#########################################################################################################################
'.forest.underStorey.pcs_HydraulicStatus.k_Rxyl_1  ',	6000	,'parameter 1 in allometric relation between plant height and hydraulic resistance of the xylem',
'.forest.underStorey.pcs_HydraulicStatus.k_Rxyl_2  ',	0.0	,'parameter 2 in allometric relation between plant height and hydraulic resistance of the xylem',
#'12.- UNDERSTOREY - RAINFALL INTERCEPTION',0.0,,################################################################################################
'.forest.underStorey.canopy.pcs_CanopyRainInterception.kRainInt_LAI  ',	0.5	,'parameter of rain interception by leaf (-)',
'.forest.underStorey.canopy.pcs_CanopyRainInterception.kRainInt_WAI  ',	0.5	,'parameter of rain interception by leaf (-)',
'.forest.underStorey.canopy.pcs_CanopyRainInterception.SurfaceWaterStorageCapacity  ',	0.125	,'water storage capacity by leaf area index(kg_H2O m-2_leafAreaIndex)',
#'13.- UNDERSTOREY - PHOTOSYNTHESIS',0.0,,#######################################################################################################
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Kc_25  ',		0.0004049	,'Michaelis-Menten constant of rubisco for CO2 at 25 degC (mol_CO2 mol-1)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Ea_Kc  ',		79430	,'Activation energy for Kc (J mol-1)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Ko_25  ',		0.2784	,'Michaelis-Menten constant of rubisco for O2 at 25 degC (mol_O2 mol-1)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Ea_Ko  ',		36380	,'Activation energy for Kc (J mol-1)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.GammaStar_25  ',	0.00004275	,'CO2 compensation point of photosynthesis in the absence of mitochondrial respiration (mol_CO2 mol-1_air : ppm)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Ea_GammaStar  ',	37830	,'Activation energy for GammaStar (J mol-1)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.TCopt_Jmax  ',	36.87	,'temperature of Jmax optimum (deg_C)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Ea_Rd  ',		46390	,'Activation energy for Rd (J mol-1)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Vcmax_25  ',	0.0000409	,'Vcmax at TCref  Delzon 2000, MSC Diss Report p 18 - mean of all stages and two traitements'
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Ea_Vcmax  ',	58750	,'Activation energy for Vcmax (J mol-1)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Jmax_25  ',	0.0000546	,'Jmax at TCref',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Ha_Jmax  ',	56000	,'Activation energy for Jmax (J mol-1)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Hd_Jmax  ',	202800	,'Deactivation energy for Jmax (J mol-1)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.alpha  ',		0.186666667	,'Quantum yield of electron transport (mol_e mol-1_photon_absorbed)',
'.forest.underStorey.canopy.pcs_AssimilationFarquhar.Rd_25  ',		5.64E-07	,'Dark leaf respiration at 25 degC (mol_CO2 m-2_LAI /s)',
#'14.- UNDERSTOREY - CANOPY PHENOLOGY - GROWTH -STRUCTURE',0.0,,###############################################################################
'.forest.underStorey.foliage.AboveGroundFraction  ',	1	,'fraction of the compartment biomass above ground',
'.forest.underStorey.foliage.BiomassCarbonContent ',	500	,'carbon weight fraction of dry biomass (kg_C kg_d.m.-1)',
'.forest.underStorey.foliage.WGrowthMax  ',		0.15	,'Maximal net annual biomass production (kg_d.m. annual_growth_cycle-1)',
'.forest.underStorey.foliage.SMD_Limiting_Growth  ',	0.65	,'SMD limiting growth',
'.forest.underStorey.foliage.T_Limiting_Growth  ',	5.0	,'Mean daily temperature limiting growth',
'.forest.underStorey.foliage.HeatSum_GrowthStart  ',	600	,'Annual heat-sum to start growth (deg day)',
'.forest.underStorey.foliage.GrowthLength  ',		130	,'Growth length of leaf (day)',
'.forest.underStorey.foliage.k_MortalityTemp  ',	0	,'Mortality temperature threshold (deg_C)',
'.forest.underStorey.foliage.k_MortalityTempRate  ',	0.025	,'Temperature mortality rate (kg_d.m. kg_d.m.-1 day-1)',
'.forest.underStorey.foliage.k_MortalitySMD  ',		0.90	,'Mortality SMD  threshold',
'.forest.underStorey.foliage.k_MortalitySMDRate  ',	0.01	,'SMD mortality rate (kg_d.m. kg_d.m.-1 day-1)',
'.forest.underStorey.foliage.k_MortalityDOY  ',		288	,'DOY threshold [1-365]',
'.forest.underStorey.foliage.k_MortalityDOYRate  ',	0.05	,'DOY mortality rate (kg_d.m. kg_d.m.-1 day-1)',
'.forest.underStorey.roots.AboveGroundFraction  ',	0	,'fraction of the compartment biomass above ground',
'.forest.underStorey.roots.BiomassCarbonContent  ',     500	,'carbon weight fraction of dry biomass (kg_C kg_d.m.-1)',
'.forest.underStorey.roots.HeatSum_GrowthStart  ',	500	,'Annual heat-sum to start growth (deg day)',
'.forest.underStorey.roots.GrowthLength  ',		130	,'Growth length of leaf (day)',
'.forest.underStorey.roots.WGrowthMax  ',		0.15	,'Maximal net annual biomass production (kg_d.m. annual_growth_cycle-1)',
'.forest.underStorey.roots.SMD_Limiting_Growth  ',	0.70	,'SMD limiting growth',
'.forest.underStorey.roots.T_Limiting_Growth  ',	2.0	,'Temperature limiting growth',
'.forest.underStorey.roots.k_MortalityTemp  ',		-2	,'Mortality temperature threshold (deg_C)',
'.forest.underStorey.roots.k_MortalityTempRate  ',	0.0125	,'Temperature mortality rate (kg_d.m. kg_d.m.-1 day-1)',
'.forest.underStorey.roots.k_MortalitySMD  ',		0.90	,'Mortality SMD  threshold',
'.forest.underStorey.roots.k_MortalitySMDRate  ',	0.005	,'SMD mortality rate (kg_d.m. kg_d.m.-1 day-1)',
'.forest.underStorey.roots.k_MortalityDOY  ',		300	,'DOY threshold [1-365]',
'.forest.underStorey.roots.k_MortalityDOYRate  ',	0.05	,'DOY mortality rate (kg_d.m. kg_d.m.-1 day-1)',
'.forest.underStorey.perennial.AboveGroundFraction  ',	0.15	,'fraction of the compartment biomass above ground',
'.forest.underStorey.perennial.BiomassCarbonContent  ',	500	,'carbon content of dry biomass (kg_C kg_d.m.-1)',
'.forest.underStorey.perennial.WGrowthMax  ',		0.10	,'Maximal net annual biomass production (kg_d.m. annual_growth_cycle-1)',
'.forest.underStorey.perennial.GrowthLength  ',		130	,'Growth length of leaf (day)',
'.forest.underStorey.perennial.HeatSum_GrowthStart  ',	450	,'Annual heat-sum to start growth (deg day)',
'.forest.underStorey.perennial.SMD_Limiting_Growth  ',	0.70	,'SMD limiting growth',
'.forest.underStorey.perennial.T_Limiting_Growth  ',	5.0	,'Temperature limiting growth',
'.forest.underStorey.perennial.k_MortalityTemp  ',	-8	,'Mortality temperature threshold (deg_C)',
'.forest.underStorey.perennial.k_MortalityTempRate  ',	0.025	,'Temperature mortality rate (kg_d.m. kg_d.m.-1 day-1)',
'.forest.underStorey.perennial.k_MortalitySMD  ',	0.90	,'Mortality SMD  threshold',
'.forest.underStorey.perennial.k_MortalitySMDRate  ',	0.005	,'SMD mortality rate (kg_d.m. kg_d.m.-1 day-1)',
'.forest.underStorey.perennial.k_MortalityDOY  ',	300	,'DOY threshold [1-365]',
'.forest.underStorey.perennial.k_MortalityDOYRate  ',	0.01	,'DOY mortality rate (kg_d.m. kg_d.m.-1 day-1)',
#'15.- UNDERSTOREY RESPIRATION',0.0,,#####################################################################################################
'.forest.underStorey.foliage.RmQ10',	2.13	,'Q10 factor of maintenance respiration response to temperature',
'.forest.underStorey.foliage.Rm15',	0.013	,'Maintenance respiration at 15degC (g_C kg_d.m. -1 hour-1)',
'.forest.underStorey.foliage.RgCost',	0.28	,'respiration cost of growth (gC g_C-1)',
'.forest.underStorey.roots.RmQ10',	2.13	,'Q10 factor of maintenance respiration response to temperature',
'.forest.underStorey.roots.Rm15',	0.013	,'Maintenance respiration at 15degC (g_C kg_d.m. -1 hour-1)',
'.forest.underStorey.roots.RgCost',	0.28	,'respiration cost of growth (gC g_C-1)',
'.forest.underStorey.perennial.RmQ10',  2.13	,'Q10 factor of maintenance respiration response to temperature',
'.forest.underStorey.perennial.Rm15',	0.013	,'Maintenance respiration at 15degC (g_C kg_d.m. -1 hour-1)',
'.forest.underStorey.perennial.RgCost',	0.28	,'respiration cost of growth (gC g_C-1)',
#'16.- UNDERSTOREY ALLOMETRY',0.0,,########################################################################################################
'.forest.underStorey.pcs_AllometricDimensions.SLA',		20	,'specific leaf area average for the whole understorey foliage (m2_LAI kg-1_d.m.)',
'.forest.underStorey.pcs_AllometricDimensions.Height_max ',	0.8	,'maximal height (m)',
'.forest.underStorey.pcs_AllometricDimensions.kAerialWeight_Height',	5	,'allometric coefficient of relation between aerial weight and height',
'.forest.underStorey.pcs_Growth.k_Alloc_F  ',			0.45	,'Allocation rate to foliage [0-1]',
'.forest.underStorey.pcs_Growth.k_Alloc_P  ',			0.10	,'Allocation rate to perennial [0-1]',
#'17.- SOIL',0.0,,###################################################################################################################
'.forest.soil.surface.pcs_energyBalance.Albedo  ',		0.25	,'albedo of soil litter surface',
'.forest.soil.surface.pcs_energyBalance.Emissivity  ',		0.98	,'emissivity',
'.forest.soil.surface.pcs_waterBalance.SurfaceWaterStorageCapacity  ',	0.5	,'water storage capacity by surface area (kg_H2O m-2_leaf)',
'.forest.soil.carbonCycle.pcs_decomposition_RothC.k_HUM  ',	0.02	,'decomposition rate of HUM (year-1)',
'.forest.soil.carbonCycle.pcs_decomposition_RothC.k_BIO  ',	0.66	,'decomposition rate of BIO (year-1))',
'.forest.soil.carbonCycle.pcs_decomposition_RothC.k_DPM  ',	10	,'decomposition rate of DPM (year-1))',
